,time,value
760,12:40:00,0
761,12:41:00,0
762,12:42:00,0
763,12:43:00,0
764,12:44:00,0
765,12:45:00,0
766,12:46:00,0
767,12:47:00,0
768,12:48:00,0
769,12:49:00,0
770,12:50:00,0
771,12:51:00,0
772,12:52:00,0
773,12:53:00,0
774,12:54:00,0
775,12:55:00,0
776,12:56:00,0
777,12:57:00,0
778,12:58:00,0
779,12:59:00,0
780,13:00:00,0
781,13:01:00,0
782,13:02:00,0
783,13:03:00,0
784,13:04:00,0
785,13:05:00,0
786,13:06:00,0
787,13:07:00,0
788,13:08:00,0
789,13:09:00,0
790,13:10:00,0
791,13:11:00,0
792,13:12:00,0
793,13:13:00,0
794,13:14:00,0
795,13:15:00,0
796,13:16:00,0
797,13:17:00,0
798,13:18:00,0
799,13:19:00,0
800,13:20:00,0
801,13:21:00,0
802,13:22:00,0
803,13:23:00,0
804,13:24:00,0
805,13:25:00,0
806,13:26:00,0
807,13:27:00,0
808,13:28:00,0
809,13:29:00,0
810,13:30:00,0
811,13:31:00,0
812,13:32:00,0
813,13:33:00,0
814,13:34:00,0
815,13:35:00,0
816,13:36:00,0
817,13:37:00,0
818,13:38:00,0
819,13:39:00,0
820,13:40:00,0
821,13:41:00,0
822,13:42:00,0
823,13:43:00,0
824,13:44:00,0
825,13:45:00,0
826,13:46:00,0
827,13:47:00,0
828,13:48:00,0
829,13:49:00,0
830,13:50:00,0
831,13:51:00,0
832,13:52:00,0
833,13:53:00,0
834,13:54:00,0
835,13:55:00,0
836,13:56:00,0
837,13:57:00,0
838,13:58:00,0
839,13:59:00,0
840,14:00:00,0
841,14:01:00,0
842,14:02:00,0
843,14:03:00,0
844,14:04:00,0
845,14:05:00,0
846,14:06:00,0
847,14:07:00,0
848,14:08:00,0
849,14:09:00,0
850,14:10:00,0
851,14:11:00,0
852,14:12:00,0
853,14:13:00,0
854,14:14:00,0
855,14:15:00,0
856,14:16:00,0
857,14:17:00,0
858,14:18:00,0
859,14:19:00,0
860,14:20:00,0
861,14:21:00,0
862,14:22:00,0
863,14:23:00,0
864,14:24:00,0
865,14:25:00,0
866,14:26:00,0
867,14:27:00,0
868,14:28:00,0
869,14:29:00,0
870,14:30:00,0
871,14:31:00,0
872,14:32:00,0
873,14:33:00,0
874,14:34:00,0
875,14:35:00,0
876,14:36:00,0
877,14:37:00,0
878,14:38:00,0
879,14:39:00,0
880,14:40:00,0
